ID,title,author,publisher,categories,cost,shipping_cost,availability,copies,bookstores
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Scholastic,['fantasy'],32.55,4.44,True,84,"{'Philosophy In Scribes & Signatures': 8, 'Cool Book Bro': 40, 'Doctorate Institute Connection Kansas': 23, 'Scripts Holden In Treasure': 16}"
6,"Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,"['fantasy', 'adventure']",45.95,4.94,True,3,{'Doctorate Institute Connection Kansas': 5}
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,['history'],41.12,1.18,True,151,"{'Cool Book Bro': 44, 'Doctorate Institute Connection Kansas': 100, 'Philosophy In Scribes & Signatures': 2, 'Books Untravled Through Time': 5}"
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,['physics'],3.59,2.28,True,2,{'Connecticut Universal Native Transcripts': 2}
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,"['mathematics', 'cooking']",44.29,3.01,True,84,"{'Cool Book Bro': 21, 'Philosophy In Scribes & Signatures': 8, 'Books Untravled Through Time': 0, 'Doctorate Institute Connection Kansas': 39}"
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Wings Books,"['mystery', 'sci-fi']",9.66,2.12,True,36,"{'Scripts Holden In Treasure': 17, 'Books Untravled Through Time': 6, 'Connecticut Universal Native Transcripts': 0, 'Cool Book Bro': 13}"
13,A Short History of Nearly Everything,Bill Bryson,Broadway Books,['adventure'],45.74,1.09,True,132,"{'Cool Book Bro': 3, 'Books Untravled Through Time': 5, 'Connecticut Universal Native Transcripts': 20, 'Scripts Holden In Treasure': 74, 'Philosophy In Scribes & Signatures': 25}"
14,Bill Bryson's African Diary,Bill Bryson,Broadway Books,['adventure'],18.16,1.16,True,66,"{'Books Untravled Through Time': 16, 'Philosophy In Scribes & Signatures': 50}"
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Broadway Books,['fantasy'],4.66,1.03,True,230,"{'Scripts Holden In Treasure': 97, 'Books Untravled Through Time': 6, 'Doctorate Institute Connection Kansas': 30}"
16,In a Sunburned Country,Bill Bryson,Broadway Books,['cooking'],27.62,2.13,True,96,"{'Doctorate Institute Connection Kansas': 65, 'Cool Book Bro': 31}"
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Broadway Books,"['biography', 'computer-science']",26.08,4.12,True,210,"{'Doctorate Institute Connection Kansas': 15, 'Philosophy In Scribes & Signatures': 25, 'Scripts Holden In Treasure': 85}"
